product_id,product_name,category_name,department_name,Column1
191001,Nike Men's Fingertrap Max Training Shoe,Soccer,Fitness,
191002,Elevation Training Mask 2.0,Soccer,Fitness,
191003,adidas Kids' F5 Messi FG Soccer Cleat,Baseball & Softball,Fitness,
191004,adidas Men's F10 Messi TRX FG Soccer Cleat,Baseball & Softball,Fitness,
191005,adidas Brazuca 2014 Official Match Ball,Baseball & Softball,Fitness,
191006,Diamondback Girls' Clarity 24 Hybrid Bike 201,Basketball,Fitness,
191007,Diamondback Boys' Insight 24 Performance Hybr,Basketball,Fitness,
191008,SOLE E25 Elliptical,Basketball,Fitness,
191009,Nike Kids' Grade School KD VI Basketball Shoe,Lacrosse,Fitness,
191010,Under Armour Men's Tech II T-Shirt,Lacrosse,Fitness,
191011,Nike Men's Comfort 2 Slide,Tennis & Racquet,Fitness,
191012,Nike Women's Legend V-Neck T-Shirt,Hockey,Fitness,
191013,Stiga Master Series ST3100 Competition Indoor,Hockey,Fitness,
191014,Nike Dri-FIT Crew Sock 6 Pack,Hockey,Fitness,
191015,Nike Women's Tempo Shorts,Cardio Equipment,Footwear,
191016,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,Footwear,
191017,GoPro HERO3+ Black Edition Camera,Strength Training,Footwear,
191018,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Strength Training,Footwear,
191019,SOLE E35 Elliptical,Strength Training,Footwear,
191020,Under Armour Hustle Storm Medium Duffle Bag,Fitness Accessories,Footwear,
191021,Bowflex SelectTech 1090 Dumbbells,Fitness Accessories,Footwear,
191022,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Boxing & MMA,Footwear,
191023,Under Armour Women's Micro G Skulpt Running S,Boxing & MMA,Footwear,
191024,Brooks Women's Ghost 6 Running Shoe,Boxing & MMA,Footwear,
191025,Under Armour Women's Ignite Slide,Electronics,Footwear,
191026,Under Armour Men's Compression EV SL Slide,Electronics,Footwear,
191027,Under Armour Kids' Mercenary Slide,Electronics,Footwear,
191028,Under Armour Women's Ignite PIP VI Slide,Electronics,Footwear,
191029,Nike Men's Free TR 5.0 TB Training Shoe,As Seen on  TV!,Footwear,
191030,Total Gym 1400,Cleats,Apparel,
191031,Perfect Fitness Perfect Rip Deck,Cleats,Apparel,
191032,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,Apparel,
191033,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,Golf,
191034,adidas Men's Germany Black Crest Away Tee,Girls' Apparel,Golf,
191035,TYR Boys' Team Digi Jammer,Girls' Apparel,Golf,
191036,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,Golf,
191037,Nike Men's Deutschland Weltmeister Winners Bl,Girls' Apparel,Golf,
191038,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,Golf,
191039,Columbia Men's PFG Anchor Tough T-Shirt,Shop By Sport,Golf,
191040,Nike Men's Kobe IX Elite Low Basketball Shoe,Shop By Sport,Golf,
191041,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Outdoors,
191042,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Outdoors,
191043,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Outdoors,
191044,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Outdoors,
191045,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Outdoors,
191046,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Outdoors,
191047,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,Outdoors,
191048,TaylorMade Women's RBZ SL Rescue,Golf Apparel,Outdoors,
191049,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Outdoors,
191050,Top Flite Women's 2014 XL Hybrid,Golf Apparel,Outdoors,
191051,LIJA Women's Button Golf Dress,Golf Shoes,Outdoors,
