date_shiiping,year,month,month_name,quarter
01/03/2015,2015,1,January,Q1
01/04/2015,2015,1,January,Q1
01/05/2015,2015,1,January,Q1
01/06/2015,2015,1,January,Q1
01/07/2015,2015,1,January,Q1
01/08/2015,2015,1,January,Q1
01/09/2015,2015,1,January,Q1
01/10/2015,2015,1,January,Q1
01/11/2015,2015,1,January,Q1
01/12/2015,2015,1,January,Q1
01/13/2015,2015,1,January,Q1
01/14/2015,2015,1,January,Q1
01/15/2015,2015,1,January,Q1
01/16/2015,2015,1,January,Q1
01/17/2015,2015,1,January,Q1
01/18/2015,2015,1,January,Q1
01/19/2015,2015,1,January,Q1
01/20/2015,2015,1,January,Q1
01/21/2015,2015,1,January,Q1
01/22/2015,2015,1,January,Q1
01/23/2015,2015,1,January,Q1
01/24/2015,2015,1,January,Q1
01/25/2015,2015,1,January,Q1
01/26/2015,2015,1,January,Q1
01/27/2015,2015,1,January,Q1
01/28/2015,2015,1,January,Q1
01/29/2015,2015,1,January,Q1
01/30/2015,2015,1,January,Q1
01/31/2015,2015,1,January,Q1
02/01/2015,2015,2,February,Q1
02/02/2015,2015,2,February,Q1
02/03/2015,2015,2,February,Q1
02/04/2015,2015,2,February,Q1
02/05/2015,2015,2,February,Q1
02/06/2015,2015,2,February,Q1
02/07/2015,2015,2,February,Q1
02/08/2015,2015,2,February,Q1
02/09/2015,2015,2,February,Q1
02/10/2015,2015,2,February,Q1
02/11/2015,2015,2,February,Q1
02/12/2015,2015,2,February,Q1
02/13/2015,2015,2,February,Q1
02/14/2015,2015,2,February,Q1
02/15/2015,2015,2,February,Q1
02/16/2015,2015,2,February,Q1
02/17/2015,2015,2,February,Q1
02/18/2015,2015,2,February,Q1
02/19/2015,2015,2,February,Q1
02/20/2015,2015,2,February,Q1
02/21/2015,2015,2,February,Q1
02/22/2015,2015,2,February,Q1
02/23/2015,2015,2,February,Q1
02/24/2015,2015,2,February,Q1
02/25/2015,2015,2,February,Q1
02/26/2015,2015,2,February,Q1
02/27/2015,2015,2,February,Q1
02/28/2015,2015,2,February,Q1
03/01/2015,2015,3,March,Q1
03/02/2015,2015,3,March,Q1
03/03/2015,2015,3,March,Q1
03/04/2015,2015,3,March,Q1
03/05/2015,2015,3,March,Q1
03/06/2015,2015,3,March,Q1
03/07/2015,2015,3,March,Q1
03/08/2015,2015,3,March,Q1
03/09/2015,2015,3,March,Q1
03/10/2015,2015,3,March,Q1
03/11/2015,2015,3,March,Q1
03/12/2015,2015,3,March,Q1
03/13/2015,2015,3,March,Q1
03/14/2015,2015,3,March,Q1
03/15/2015,2015,3,March,Q1
03/16/2015,2015,3,March,Q1
03/17/2015,2015,3,March,Q1
03/18/2015,2015,3,March,Q1
03/19/2015,2015,3,March,Q1
03/20/2015,2015,3,March,Q1
03/21/2015,2015,3,March,Q1
03/22/2015,2015,3,March,Q1
03/23/2015,2015,3,March,Q1
03/24/2015,2015,3,March,Q1
03/25/2015,2015,3,March,Q1
03/26/2015,2015,3,March,Q1
03/27/2015,2015,3,March,Q1
03/28/2015,2015,3,March,Q1
03/29/2015,2015,3,March,Q1
03/30/2015,2015,3,March,Q1
03/31/2015,2015,3,March,Q1
04/01/2015,2015,4,April,Q2
04/02/2015,2015,4,April,Q2
04/03/2015,2015,4,April,Q2
04/04/2015,2015,4,April,Q2
04/05/2015,2015,4,April,Q2
04/06/2015,2015,4,April,Q2
04/07/2015,2015,4,April,Q2
04/08/2015,2015,4,April,Q2
04/09/2015,2015,4,April,Q2
04/10/2015,2015,4,April,Q2
04/11/2015,2015,4,April,Q2
04/12/2015,2015,4,April,Q2
04/13/2015,2015,4,April,Q2
