order_id,transaction_type,processing_time(day),delivery_estimate(day),late_delivery_risk,delivery_status,order_status,shipping_mode
00001,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00002,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00004,Cash,5,4,1,Late Delivery,Closed,Standard Class
00005,Debit,6,4,1,Late Delivery,Complete,Standard Class
00007,Debit,3,2,1,Late Delivery,Complete,Second Class
00008,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00009,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00010,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00011,Payment,2,4,0,Advance Shipping,Payment Review,Standard Class
00012,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00013,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00014,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00015,Debit,6,4,1,Late Delivery,Complete,Standard Class
00016,Payment,2,4,0,Advance Shipping,Pending Payment,Standard Class
00017,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00018,Cash,4,4,0,Shipping On Time,Closed,Standard Class
00019,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00020,Transfer,6,4,1,Late Delivery,Processing,Standard Class
00021,Transfer,2,1,1,Late Delivery,Pending,First Class
00023,Payment,4,2,1,Late Delivery,Pending Payment,Second Class
00024,Cash,5,2,1,Late Delivery,Closed,Second Class
00025,Cash,6,2,1,Late Delivery,Closed,Second Class
00027,Payment,3,2,1,Late Delivery,Pending Payment,Second Class
00028,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00029,Transfer,5,4,1,Late Delivery,Processing,Standard Class
00030,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00031,Payment,2,4,0,Advance Shipping,Payment Review,Standard Class
00033,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00034,Transfer,2,1,1,Late Delivery,Processing,First Class
00035,Debit,6,2,1,Late Delivery,Complete,Second Class
00036,Transfer,2,2,0,Shipping On Time,Pending,Second Class
00037,Cash,3,2,1,Late Delivery,Closed,Second Class
00038,Transfer,4,2,1,Late Delivery,Processing,Second Class
00039,Transfer,5,2,1,Late Delivery,Pending,Second Class
00041,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00042,Transfer,2,1,1,Late Delivery,Pending,First Class
00043,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00044,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00045,Debit,6,4,1,Late Delivery,Complete,Standard Class
00046,Debit,2,4,0,Advance Shipping,On Hold,Standard Class
00048,Transfer,4,4,0,Shipping On Time,Processing,Standard Class
00049,Transfer,5,4,1,Late Delivery,Pending,Standard Class
00050,Transfer,6,4,0,Shipping Canceled,Canceled,Standard Class
00051,Cash,2,4,0,Advance Shipping,Closed,Standard Class
00052,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00056,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00057,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00058,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00059,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00061,Cash,2,2,0,Shipping On Time,Closed,Second Class
00062,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00063,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00064,Payment,2,1,1,Late Delivery,Pending Payment,First Class
00065,Debit,2,1,1,Late Delivery,Complete,First Class
00066,Debit,2,4,0,Advance Shipping,On Hold,Standard Class
00067,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00068,Transfer,4,4,0,Shipping On Time,Pending,Standard Class
00069,Transfer,5,4,0,Shipping Canceled,Suspected Fraud,Standard Class
00070,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00071,Debit,2,4,0,Advance Shipping,Complete,Standard Class
00072,Debit,3,4,0,Advance Shipping,Complete,Standard Class
00073,Payment,4,4,0,Shipping On Time,Pending Payment,Standard Class
00074,Payment,5,4,1,Late Delivery,Pending Payment,Standard Class
00075,Payment,6,4,1,Late Delivery,Pending Payment,Standard Class
00077,Payment,3,4,0,Advance Shipping,Pending Payment,Standard Class
00081,Transfer,2,4,0,Advance Shipping,Processing,Standard Class
00083,Debit,4,4,0,Shipping On Time,Complete,Standard Class
00084,Transfer,5,2,1,Late Delivery,Processing,Second Class
00087,Cash,3,4,0,Advance Shipping,Closed,Standard Class
00088,Debit,4,4,0,Shipping On Time,Complete,Standard Class
